route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
CS,3705,42529,Commuter South to Kipke Drive,,1,3633,743,1,2
CS,3705,42528,Commuter South to Kipke Drive,,1,3634,743,1,2
CS,3705,42527,Commuter South to Kipke Drive,,1,3635,743,1,2
CS,3705,42526,Commuter South to Kipke Drive,,1,3636,743,1,2
CS,3705,42525,Commuter South to Kipke Drive,,1,3637,743,1,2
CS,3705,42524,Commuter South to Kipke Drive,,1,3638,743,1,2
CS,3705,42523,Commuter South to Kipke Drive,,1,3639,743,1,2
CS,3705,42522,Commuter South to Kipke Drive,,1,3640,743,1,2
CS,5,43438,Commuter South to Kipke Drive,,1,3641,743,1,2
CS,3705,42521,Commuter South to Kipke Drive,,1,3642,743,1,2
CS,3705,42520,Commuter South to Kipke Drive,,1,3643,743,1,2
CS,3705,42519,Commuter South to Kipke Drive,,1,3644,743,1,2
CS,3705,42518,Commuter South to Kipke Drive,,1,3645,743,1,2
CS,3705,42517,Commuter South to Kipke Drive,,1,3646,743,1,2
CS,3705,42516,Commuter South to Kipke Drive,,1,3647,743,1,2
CS,3705,42515,Commuter South to Kipke Drive,,1,3648,743,1,2
CS,3705,42514,Commuter South to Kipke Drive,,1,3649,743,1,2
CS,3705,42513,Commuter South to Kipke Drive,,1,3650,743,1,2
CS,3705,42512,Commuter South to Kipke Drive,,1,3651,743,1,2
CS,5,43440,Commuter South to Kipke Drive,,1,3652,743,1,2
CS,3705,42511,Commuter South to Kipke Drive,,1,3653,743,1,2
CS,3705,42510,Commuter South to Kipke Drive,,1,3654,743,1,2
CS,3705,42509,Commuter South to Kipke Drive,,1,3655,743,1,2
CS,3705,42508,Commuter South to Kipke Drive,,1,3656,743,1,2
CS,3705,42507,Commuter South to Kipke Drive,,1,3657,743,1,2
CS,3705,42506,Commuter South to Kipke Drive,,1,3658,743,1,2
CS,3705,42505,Commuter South to Kipke Drive,,1,3659,743,1,2
CS,3705,42504,Commuter South to Kipke Drive,,1,3660,743,1,2
CS,3705,42503,Commuter South to Kipke Drive,,1,3661,743,1,2
CS,3705,42502,Commuter South to Kipke Drive,,1,3662,743,1,2
CS,5,43442,Commuter South to Kipke Drive,,1,3663,743,1,2
CS,3705,42501,Commuter South to Kipke Drive,,1,3664,743,1,2
CS,3705,42500,Commuter South to Kipke Drive,,1,3665,743,1,2
CS,3705,42499,Commuter South to Kipke Drive,,1,3666,743,1,2
CS,3705,42498,Commuter South to Kipke Drive,,1,3667,743,1,2
CS,3705,42497,Commuter South to Kipke Drive,,1,3668,743,1,2
CS,3705,42496,Commuter South to Kipke Drive,,1,3669,743,1,2
CS,3705,42495,Commuter South to Kipke Drive,,1,3670,743,1,2
CS,3705,42494,Commuter South to Kipke Drive,,1,3671,743,1,2
CS,3705,42493,Commuter South to Kipke Drive,,1,3672,743,1,2
CS,3705,42492,Commuter South to Kipke Drive,,1,3673,743,1,2
CS,5,43444,Commuter South to Kipke Drive,,1,3674,743,1,2
CS,3705,42491,Commuter South to Kipke Drive,,1,3675,743,1,2
CS,3705,42490,Commuter South to Kipke Drive,,1,3676,743,1,2
CS,3705,42489,Commuter South to Kipke Drive,,1,3677,743,1,2
CS,3705,42488,Commuter South to Kipke Drive,,1,3678,743,1,2
CS,3705,42487,Commuter South to Kipke Drive,,1,3679,743,1,2
CS,3705,42486,Commuter South to Kipke Drive,,1,3680,743,1,2
CS,3705,42485,Commuter South to Kipke Drive,,1,3681,740,1,2
CS,3705,42484,Commuter South to Kipke Drive,,1,3682,740,1,2
CS,3705,42483,Commuter South to Kipke Drive,,1,3683,740,1,2
CS,3705,42482,Commuter South to Kipke Drive,,1,3684,740,1,2
CS,3705,42481,Commuter South to Kipke Drive,,1,3685,740,1,2
CS,3705,42480,Commuter South to Kipke Drive,,1,3686,740,1,2
CS,3705,42479,Commuter South to Kipke Drive,,1,3687,740,1,2
CS,3705,42478,Commuter South to Kipke Drive,,1,3688,740,1,2
CS,3705,42477,Commuter South to Kipke Drive,,1,3689,740,1,2
CS,3705,42476,Commuter South to Kipke Drive,,1,3690,740,1,2
CS,3705,42475,Commuter South to Kipke Drive,,1,3691,740,1,2
CS,3705,42474,Commuter South to Kipke Drive,,1,3734,740,1,2
CS,3705,42473,Commuter South to Kipke Drive,,1,3692,740,1,2
CS,3705,42472,Commuter South to Kipke Drive,,1,3693,740,1,2
CS,3705,42471,Commuter South to Kipke Drive,,1,3694,740,1,2
CS,3705,42470,Commuter South to Kipke Drive,,1,3695,740,1,2
CS,3705,42469,Commuter South to Kipke Drive,,1,3735,740,1,2
CS,3705,42468,Commuter South to Kipke Drive,,1,3696,740,1,2
CS,3705,42467,Commuter South to Kipke Drive,,1,3697,740,1,2
CS,3705,42466,Commuter South to Kipke Drive,,1,3736,740,1,2
CS,3705,42465,Commuter South to Kipke Drive,,1,3737,740,1,2
MX,5,42719,MedExpress to UM Hospital,,0,3705,746,1,2
MX,5,42718,MedExpress to UM Hospital,,0,3706,746,1,2
MX,5,42717,MedExpress to UM Hospital,,0,3707,746,1,2
MX,5,42716,MedExpress to UM Hospital,,0,3705,747,1,2
MX,5,42657,MedExpress to UM Hospital,,0,3708,746,1,2
MX,5,42715,MedExpress to UM Hospital,,0,3706,747,1,2
MX,5,42658,MedExpress to UM Hospital,,0,3709,746,1,2
MX,5,42714,MedExpress to UM Hospital,,0,3707,747,1,2
MX,5,42659,MedExpress to UM Hospital,,0,3710,746,1,2
MX,5,42713,MedExpress to UM Hospital,,0,3705,747,1,2
MX,5,42660,MedExpress to UM Hospital,,0,3711,746,1,2
MX,5,42712,MedExpress to UM Hospital,,0,3706,747,1,2
MX,5,42711,MedExpress to UM Hospital,,0,3709,747,1,2
